
id,idHab,idHabTo,title,startDate,money,category,endAfter,endTimes,endDate,isDeleted,isPaided,repeat
12869,68,-1,Marketting Price,2001-12-31 00:00:00.000,1363623.57,207,No end date,0,2002-01-01 00:00:00.000,0,1,Only once
12867,68,-1,Opening Balance,2002-01-01 00:00:00.000,0.0,288,No end date,0,2002-01-02 00:00:00.000,0,1,Only once
12868,79,68,AIA Saving Insurance,2002-06-26 00:00:00.000,17755.4,,No end date,0,2002-06-27 00:00:00.000,0,1,Only once
12868,68,79,AIA Saving Insurance,2002-06-26 00:00:00.000,-17755.4,,No end date,0,2002-06-27 00:00:00.000,0,1,Only once
12933,79,-1,Insurance Expense,2002-06-30 00:00:00.000,-17755.4,218,No end date,0,2002-07-01 00:00:00.000,0,1,Only once
8678,16,-1,Opening Balance,2003-01-01 00:00:00.000,-24510.0,288,No end date,0,2003-01-02 00:00:00.000,0,1,Only once
8679,16,-1,Bank Expense,2003-03-19 00:00:00.000,-230.0,72,No end date,0,2003-03-20 00:00:00.000,0,1,Only once
12866,79,68,AIA Saving Insurance,2003-06-26 00:00:00.000,17755.4,,No end date,0,2003-06-27 00:00:00.000,0,1,Only once
12866,68,79,AIA Saving Insurance,2003-06-26 00:00:00.000,-17755.4,,No end date,0,2003-06-27 00:00:00.000,0,1,Only once
12932,79,-1,Insurance Expense,2003-06-30 00:00:00.000,-13255.4,218,No end date,0,2003-07-01 00:00:00.000,0,1,Only once
8676,16,-1,Bank Expense,2004-03-19 00:00:00.000,-230.0,72,No end date,0,2004-03-20 00:00:00.000,0,1,Only once
12864,68,79,AIA Saving Insurance,2004-06-26 00:00:00.000,-17755.4,,No end date,0,2004-06-27 00:00:00.000,0,1,Only once
12864,79,68,AIA Saving Insurance,2004-06-26 00:00:00.000,17755.4,,No end date,0,2004-06-27 00:00:00.000,0,1,Only once
12931,79,-1,Insurance Expense,2004-06-30 00:00:00.000,-655.4,218,No end date,0,2004-07-01 00:00:00.000,0,1,Only once
8677,79,16,Return Insurance 4%,2004-07-26 00:00:00.000,-6000.0,,No end date,0,2004-07-27 00:00:00.000,0,1,Only once
8677,16,79,Return Insurance 4%,2004-07-26 00:00:00.000,6000.0,,No end date,0,2004-07-27 00:00:00.000,0,1,Only once
12865,68,-1,IT Expense,2004-11-10 00:00:00.000,-40700.0,236,No end date,0,2004-11-11 00:00:00.000,0,1,Only once
6136,1,-1,A Salary Net,2005-01-01 00:00:00.000,-750.0,6,No end date,0,2005-01-02 00:00:00.000,0,1,Only once
6134,1,-1,A Salary Net,2005-01-01 00:00:00.000,16000.0,15,No end date,0,2005-01-02 00:00:00.000,0,1,Only once
6135,1,-1,A Salary Net,2005-01-01 00:00:00.000,0.0,7,No end date,0,2005-01-02 00:00:00.000,0,1,Only once
6137,1,-1,Renting Room,2005-01-31 00:00:00.000,-1700.0,145,No end date,0,2005-02-01 00:00:00.000,0,1,Only once
6140,1,-1,A Salary Net,2005-02-28 00:00:00.000,-750.0,6,No end date,0,2005-03-01 00:00:00.000,0,1,Only once
6138,1,-1,A Salary Net,2005-02-28 00:00:00.000,16000.0,15,No end date,0,2005-03-01 00:00:00.000,0,1,Only once
6141,1,-1,Renting Room,2005-02-28 00:00:00.000,-1700.0,145,No end date,0,2005-03-01 00:00:00.000,0,1,Only once
6139,1,-1,A Salary Net,2005-02-28 00:00:00.000,0.0,7,No end date,0,2005-03-01 00:00:00.000,0,1,Only once
8675,16,-1,Bank Expense,2005-03-19 00:00:00.000,-230.0,72,No end date,0,2005-03-20 00:00:00.000,0,1,Only once
6142,1,-1,Renting Room,2005-03-28 00:00:00.000,-1700.0,145,No end date,0,2005-03-29 00:00:00.000,0,1,Only once
6143,1,-1,A Salary Net,2005-03-31 00:00:00.000,16000.0,15,No end date,0,2005-04-01 00:00:00.000,0,1,Only once
6144,1,-1,A Salary Net,2005-03-31 00:00:00.000,0.0,7,No end date,0,2005-04-01 00:00:00.000,0,1,Only once
6145,1,-1,A Salary Net,2005-03-31 00:00:00.000,-750.0,6,No end date,0,2005-04-01 00:00:00.000,0,1,Only once
6146,1,-1,Renting Room,2005-04-28 00:00:00.000,-1700.0,145,No end date,0,2005-04-29 00:00:00.000,0,1,Only once
6147,1,-1,Z Other Expense,2005-04-29 00:00:00.000,-36700.0,44,No end date,0,2005-04-30 00:00:00.000,0,1,Only once
6148,1,-1,A Salary Net,2005-04-30 00:00:00.000,16000.0,15,No end date,0,2005-05-01 00:00:00.000,0,1,Only once
6149,1,-1,A Salary Net,2005-04-30 00:00:00.000,0.0,7,No end date,0,2005-05-01 00:00:00.000,0,1,Only once
6150,1,-1,A Salary Net,2005-04-30 00:00:00.000,-750.0,6,No end date,0,2005-05-01 00:00:00.000,0,1,Only once
6151,1,-1,A Ying Expense,2005-05-04 00:00:00.000,-6000.0,165,No end date,0,2005-05-05 00:00:00.000,0,1,Only once
6152,1,-1,Renting Room,2005-05-28 00:00:00.000,-1700.0,145,No end date,0,2005-05-29 00:00:00.000,0,1,Only once
6153,1,-1,Z Other Expense,2005-05-30 00:00:00.000,-3100.0,44,No end date,0,2005-05-31 00:00:00.000,0,1,Only once
6154,1,-1,A Salary Net,2005-05-31 00:00:00.000,18000.0,15,No end date,0,2005-06-01 00:00:00.000,0,1,Only once
